season,round,url,raceName,Circuit,date,time,FirstPractice,SecondPractice,ThirdPractice,Qualifying,Sprint
2021,11,https://en.wikipedia.org/wiki/2021_Hungarian_Grand_Prix,Hungarian Grand Prix,"{'circuitId': 'hungaroring', 'url': 'https://en.wikipedia.org/wiki/Hungaroring', 'circuitName': 'Hungaroring', 'Location': {'lat': '47.5789', 'long': '19.2486', 'locality': 'Budapest', 'country': 'Hungary'}}",2021-08-01,13:00:00Z,{'date': '2021-07-30'},{'date': '2021-07-30'},{'date': '2021-07-31'},{'date': '2021-07-31'},
2021,12,https://en.wikipedia.org/wiki/2021_Belgian_Grand_Prix,Belgian Grand Prix,"{'circuitId': 'spa', 'url': 'https://en.wikipedia.org/wiki/Circuit_de_Spa-Francorchamps', 'circuitName': 'Circuit de Spa-Francorchamps', 'Location': {'lat': '50.4372', 'long': '5.97139', 'locality': 'Spa', 'country': 'Belgium'}}",2021-08-29,13:00:00Z,{'date': '2021-08-27'},{'date': '2021-08-27'},{'date': '2021-08-28'},{'date': '2021-08-28'},
2021,13,https://en.wikipedia.org/wiki/2021_Dutch_Grand_Prix,Dutch Grand Prix,"{'circuitId': 'zandvoort', 'url': 'https://en.wikipedia.org/wiki/Circuit_Zandvoort', 'circuitName': 'Circuit Park Zandvoort', 'Location': {'lat': '52.3888', 'long': '4.54092', 'locality': 'Zandvoort', 'country': 'Netherlands'}}",2021-09-05,13:00:00Z,{'date': '2021-09-03'},{'date': '2021-09-03'},{'date': '2021-09-04'},{'date': '2021-09-04'},
2021,14,https://en.wikipedia.org/wiki/2021_Italian_Grand_Prix,Italian Grand Prix,"{'circuitId': 'monza', 'url': 'https://en.wikipedia.org/wiki/Monza_Circuit', 'circuitName': 'Autodromo Nazionale di Monza', 'Location': {'lat': '45.615599999999986', 'long': '9.28111', 'locality': 'Monza', 'country': 'Italy'}}",2021-09-12,13:00:00Z,{'date': '2021-09-10'},{'date': '2021-09-11'},,{'date': '2021-09-10'},{'date': '2021-09-11'}
2021,15,https://en.wikipedia.org/wiki/2021_Russian_Grand_Prix,Russian Grand Prix,"{'circuitId': 'sochi', 'url': 'https://en.wikipedia.org/wiki/Sochi_Autodrom', 'circuitName': 'Sochi Autodrom', 'Location': {'lat': '43.4057', 'long': '39.9578', 'locality': 'Sochi', 'country': 'Russia'}}",2021-09-26,12:00:00Z,{'date': '2021-09-24'},{'date': '2021-09-24'},{'date': '2021-09-25'},{'date': '2021-09-25'},
2021,16,https://en.wikipedia.org/wiki/2021_Turkish_Grand_Prix,Turkish Grand Prix,"{'circuitId': 'istanbul', 'url': 'https://en.wikipedia.org/wiki/Istanbul_Park', 'circuitName': 'Istanbul Park', 'Location': {'lat': '40.9517', 'long': '29.405', 'locality': 'Istanbul', 'country': 'Turkey'}}",2021-10-10,12:00:00Z,{'date': '2021-10-08'},{'date': '2021-10-08'},{'date': '2021-10-09'},{'date': '2021-10-09'},
2021,17,https://en.wikipedia.org/wiki/2021_United_States_Grand_Prix,United States Grand Prix,"{'circuitId': 'americas', 'url': 'https://en.wikipedia.org/wiki/Circuit_of_the_Americas', 'circuitName': 'Circuit of the Americas', 'Location': {'lat': '30.1328', 'long': '-97.6411', 'locality': 'Austin', 'country': 'USA'}}",2021-10-24,19:00:00Z,{'date': '2021-10-22'},{'date': '2021-10-22'},{'date': '2021-10-23'},{'date': '2021-10-23'},
2021,18,https://en.wikipedia.org/wiki/2021_Mexico_City_Grand_Prix,Mexico City Grand Prix,"{'circuitId': 'rodriguez', 'url': 'https://en.wikipedia.org/wiki/Aut%C3%B3dromo_Hermanos_Rodr%C3%ADguez', 'circuitName': 'Autódromo Hermanos Rodríguez', 'Location': {'lat': '19.4042', 'long': '-99.0907', 'locality': 'Mexico City', 'country': 'Mexico'}}",2021-11-07,19:00:00Z,{'date': '2021-11-05'},{'date': '2021-11-05'},{'date': '2021-11-06'},{'date': '2021-11-06'},
2021,19,https://en.wikipedia.org/wiki/2021_S%C3%A3o_Paulo_Grand_Prix,São Paulo Grand Prix,"{'circuitId': 'interlagos', 'url': 'https://en.wikipedia.org/wiki/Interlagos_Circuit', 'circuitName': 'Autódromo José Carlos Pace', 'Location': {'lat': '-23.7036', 'long': '-46.69969999999999', 'locality': 'São Paulo', 'country': 'Brazil'}}",2021-11-14,17:00:00Z,{'date': '2021-11-12'},{'date': '2021-11-13'},,{'date': '2021-11-12'},{'date': '2021-11-13'}
2021,20,https://en.wikipedia.org/wiki/2021_Qatar_Grand_Prix,Qatar Grand Prix,"{'circuitId': 'losail', 'url': 'https://en.wikipedia.org/wiki/Lusail_International_Circuit', 'circuitName': 'Losail International Circuit', 'Location': {'lat': '25.48999999999998', 'long': '51.4542', 'locality': 'Al Daayen', 'country': 'Qatar'}}",2021-11-21,14:00:00Z,{'date': '2021-11-19'},{'date': '2021-11-19'},{'date': '2021-11-20'},{'date': '2021-11-20'},
2021,21,https://en.wikipedia.org/wiki/2021_Saudi_Arabian_Grand_Prix,Saudi Arabian Grand Prix,"{'circuitId': 'jeddah', 'url': 'https://en.wikipedia.org/wiki/Jeddah_Corniche_Circuit', 'circuitName': 'Jeddah Corniche Circuit', 'Location': {'lat': '21.631899999999998', 'long': '39.1044', 'locality': 'Jeddah', 'country': 'Saudi Arabia'}}",2021-12-05,17:30:00Z,{'date': '2021-12-03'},{'date': '2021-12-03'},{'date': '2021-12-04'},{'date': '2021-12-04'},
2021,22,https://en.wikipedia.org/wiki/2021_Abu_Dhabi_Grand_Prix,Abu Dhabi Grand Prix,"{'circuitId': 'yas_marina', 'url': 'https://en.wikipedia.org/wiki/Yas_Marina_Circuit', 'circuitName': 'Yas Marina Circuit', 'Location': {'lat': '24.4672', 'long': '54.6031', 'locality': 'Abu Dhabi', 'country': 'UAE'}}",2021-12-12,13:00:00Z,{'date': '2021-12-10'},{'date': '2021-12-10'},{'date': '2021-12-11'},{'date': '2021-12-11'},
